pobox,postcode
6935,6055
6849
1825,2141
6963,6163
5071
1860,2165
8009
6981,6101
6951,6151
0851,0850,0852
3619,3620
6918,6018
6903,6007
6332
4219
6846,6000
1350,2025
1225
1485,2217
8011
6947,6065
1235,2000
0871,0870,0872
1800,2131
2442
4271
6964,6164
1851,2164
6997,6111
6842,6000
6926,6076
8001,3000,3004
6953,6153
1360,2028
6943,6062
3176
2348
2129
4803
2616,2617
0813,0812
6231,6230
3841
2901
6969,6168
1585,2065
3001,3000,3004
6956,6156
3853,3850
6911,6011
8002,3002
8010
6901,6007
6920,6020
6955,6155
3661,3660
2891
6850
6910,6010
5942,5010
6831
2057,2067
1560,2063
2059,2060
1230
6921,6018
3632,3630
8008,3004
3554
6983,6102
6838,6000
1885,2200
2310
3010
6944,6090
3402,3400
1890,2565
4345
0811,0810
7002,7000
1685,2114
6905
1710,2121
6800,6000
2520,2500
6913,6014
7151
6979,6100
6966
6941,6061
6922,6019
6961,6157
1765,2154
3736,3737
6967,6168
1215
6970,6155
6990,6110
6902,6007
1790,2760
3724,3722
6865,6003
6992,6112
3502,3500
1495,2229
0814,0810
6837,6000
1675,2111
6991,6111
1730,2147
1755,2153
1515
0831,0830
6839,6000
6989,6109
1240,2000
3643,3644
2708
3671,3672
3164,3175
3050
6933,6053
8012,3008
6986
3353,3350
6917,6017
6912,6012
6988,6108
1871,2170
1481
6914,6021
7006,7005
6952,6152
1445,2018
2252
1660,2103
3676,3677
1340
3689,3690
6331
4222
8003
1480,2208
7001,7000
6929,6050
1300,2010
6923,6025
6731
4813
4230
0815
6844,6000
0804,0820
6904
1220
1490,2228
6919,6027
0200
1715,2120
1630,2077
2002
1680,2112
3694
6915,6016
4072
6968,6168
2012
6984,6104
6985,6105
6925
1450,2050
1455,2019
1435,2015
4004,4000
2001,2000
2890
2608
0881,0880
6001,6000
1565,2061
2004
6965,6163
3354,3350
6960
3552,3550
6942
1335,2011
6433
0821,0820,0822
4002
0861,0860,0862
6932,6052
6959,6160
3800
1570,2064
2751,2750
6987,6107
8007
1875,2170
2006
6982,6102
2055,2060
1475,2204
4003
1700,2115
1590,2065
1655,2095
1750,2151
1640,2086
0801
6939,6060
6840,6000
1670,2113
8004
6909,6009
9726,4217
4029
6733
8006
6916,6017
6848,6000
1466
1499,2232
4001
2309
1470,2047
6936
2610
6843,6000
6841,6000
6845,6000
5001,5000
6872,6005
1460,2020
6531
1595,2066
6931,6051
9999
6711
6954,6154
1835,2144
1805,2134
1465,2033
6934,6054
1635
7051,7050
3086,3083
6924,6024
6957,6157
6906,6006
2124,2150
6946,6065
6892,6004
6847,6000
1355,2022
